17057	send	0	1545377562.7970018
17057	receive	0	1545377562.7972739
17093	send	1	1545377564.8060355
17095	receive	1	1545377564.8078892
17094	receive	1	1545377564.8143437
17093	receive	1	1545377564.8230534
17057	receive	1	1545377564.8193836
17093	send	2	1545377574.981419
17095	receive	2	1545377574.9830554
17094	receive	2	1545377574.9864511
17093	receive	2	1545377574.9910479
17057	receive	2	1545377574.999051
17057	send	3	1545377575.042146
17094	receive	3	1545377575.043696
17095	receive	3	1545377575.04843
17093	receive	3	1545377575.056231
17057	receive	3	1545377575.0590694
17095	send	4	1545377583.2740486
17094	receive	4	1545377583.2790463
17057	receive	4	1545377583.279053
17093	receive	4	1545377583.285864
17095	receive	4	1545377583.2914584
17093	send	5	1545377588.4940357
17057	receive	5	1545377588.4957752
17094	receive	5	1545377588.499045
17095	receive	5	1545377588.5090618
17093	receive	5	1545377588.5110478
17095	send	6	1545377593.8195128
17057	receive	6	1545377593.821212
17094	receive	6	1545377593.8230462
17095	receive	6	1545377593.8390484
17093	receive	6	1545377593.8390498
17057	send	7	1545377594.398053
17094	receive	7	1545377594.4000006
17093	receive	7	1545377594.4
17095	receive	7	1545377594.4070513
17057	receive	7	1545377594.415052
17095	send	8	1545377606.9805112
17094	receive	8	1545377606.9822474
17057	receive	8	1545377606.9830518
17093	receive	8	1545377606.995046
17095	receive	8	1545377606.9990492
17093	send	9	1545377609.7460365
17095	receive	9	1545377609.747613
17057	receive	9	1545377609.7476778
17093	receive	9	1545377609.7630546
17094	receive	9	1545377609.7630484
17095	send	10	1545377617.574029
17094	receive	10	1545377617.5750458
17093	receive	10	1545377617.5790503
17095	receive	10	1545377617.5910528
17057	receive	10	1545377617.5910501
17093	send	11	1545377669.4060268
17094	receive	11	1545377669.4110491
17095	receive	11	1545377669.4110515
17057	receive	11	1545377669.4230494
17093	receive	11	1545377669.4230554
17093	send	12	1545377670.4420338
17057	receive	12	1545377670.4471614
17094	receive	12	1545377670.4502685
17095	receive	12	1545377670.4550476
17093	receive	12	1545377670.4590523
17057	send	13	1545377682.7101028
17094	receive	13	1545377682.711977
17095	receive	13	1545377682.7119696
17093	receive	13	1545377682.7119746
17057	receive	13	1545377682.7270515
17095	send	14	1545377685.4901948
17057	receive	14	1545377685.5037544
17093	receive	14	1545377685.5037594
17094	receive	14	1545377685.5095515
17095	receive	14	1545377685.519048
17057	send	15	1545377688.2122993
17094	receive	15	1545377688.2190514
17057	receive	15	1545377688.2230732
17093	receive	15	1545377688.2310462
17095	receive	15	1545377688.2310493
17093	send	16	1545377697.0763252
17057	receive	16	1545377697.0772812
17094	receive	16	1545377697.0772882
17095	receive	16	1545377697.083049
17093	receive	16	1545377697.0870519
17093	send	17	1545377700.0601099
17057	receive	17	1545377700.071027
17094	receive	17	1545377700.075052
17095	receive	17	1545377700.0763078
17093	receive	17	1545377700.0870464
17093	send	18	1545377731.0460317
17095	receive	18	1545377731.047744
17057	receive	18	1545377731.0477443
17094	receive	18	1545377731.063049
17093	receive	18	1545377731.0670485
17094	send	19	1545377740.5942543
17057	receive	19	1545377740.5958512
17095	receive	19	1545377740.5958533
17093	receive	19	1545377740.595921
17094	receive	19	1545377740.6030538
17094	send	20	1545377741.9060397
17093	receive	20	1545377741.9078057
17095	receive	20	1545377741.9150515
17094	receive	20	1545377741.9230464
17057	receive	20	1545377741.92305
start to measure
17094	send	21	1545377765.8235183
17094	receive	21	1545377765.841998
17095	receive	21	1545377765.9437933
17057	receive	21	1545377765.9431424
17093	receive	21	1545377765.959719
17095	send	22	1545377815.0955055
17094	receive	22	1545377815.0981066
17057	receive	22	1545377815.1099877
17093	receive	22	1545377815.1100044
17095	receive	22	1545377815.1100187
17093	send	23	1545377821.5700262
17057	receive	23	1545377821.5718594
17094	receive	23	1545377821.5718663
17095	receive	23	1545377821.5859997
17093	receive	23	1545377821.5929775
17057	send	24	1545377846.146032
17093	receive	24	1545377846.1472335
17095	receive	24	1545377846.1523287
17094	receive	24	1545377846.1590455
17057	receive	24	1545377846.1630507
17094	send	25	1545377846.6540565
17095	receive	25	1545377846.6550913
17057	receive	25	1545377846.6550903
17093	receive	25	1545377846.6550972
17094	receive	25	1545377846.675054
17057	send	26	1545377847.5659366
17057	receive	26	1545377847.566425
17093	receive	26	1545377847.567055
17094	receive	26	1545377847.5670712
17095	receive	26	1545377847.5790505
17095	send	27	1545377856.618787
17094	receive	27	1545377856.6202943
17093	receive	27	1545377856.6203418
17093   fork    27
