11077	send	0	1545740285.858306
11077	receive	0	1545740285.8585737
11109	send	1	1545740287.7066228
11108	receive	1	1545740287.71073
11077	receive	1	1545740287.7107272
11109	receive	1	1545740287.7227297
11110	receive	1	1545740287.7227302
start to measure
11109	send	2	1545740311.2695444
11110	receive	2	1545740311.2719104
11108	receive	2	1545740311.284119
11109	receive	2	1545740311.2844243
11077	receive	2	1545740311.2827904
11108	send	3	1545740333.1177812
11110	receive	3	1545740333.1229558
11109	receive	3	1545740333.12347
11077	receive	3	1545740333.1307843
11108	receive	3	1545740333.1361048
11110	send	4	1545740344.3375185
11108	receive	4	1545740344.3411922
11077	receive	4	1545740344.34119
11109	receive	4	1545740344.3423035
11110	receive	4	1545740344.3502915
11110	send	5	1545740346.9094107
11108	receive	5	1545740346.9112253
11077	receive	5	1545740346.9112196
11110	receive	5	1545740346.922248
11109	receive	5	1545740346.92672
11077	send	6	1545740391.130301
11110	receive	6	1545740391.1327195
11109	receive	6	1545740391.1378365
11108	receive	6	1545740391.1400054
11077	receive	6	1545740391.1441867
half end of measure
11110	send	7	1545740409.569728
11077	receive	7	1545740409.5710425
11109	receive	7	1545740409.5710504
11110	receive	7	1545740409.582726
11108	receive	7	1545740409.5867198
11077	send	8	1545740424.3144605
11110	receive	8	1545740424.316099
11109	receive	8	1545740424.3161054
11108	receive	8	1545740424.3212082
11077	receive	8	1545740424.331783
11077	send	9	1545740452.4064457
11109	receive	9	1545740452.4109027
11108	receive	9	1545740452.4109027
11110	receive	9	1545740452.4135988
11077	receive	9	1545740452.4198163
11109	send	10	1545740465.2617164
11110	receive	10	1545740465.263714
11108	receive	10	1545740465.2715085
11109	receive	10	1545740465.2787228
11077	receive	10	1545740465.2827256
11108	send	11	1545740471.2905195
11109	receive	11	1545740471.2933815
11077	receive	11	1545740471.2970922
11110	receive	11	1545740471.3027952
11108	receive	11	1545740471.311906
11110	send	12	1545740480.9785
11109	receive	12	1545740480.9806516
11077	receive	12	1545740480.9806433
11108	receive	12	1545740480.9819574
11110	receive	12	1545740480.9947832
11077	send	13	1545740485.9297779
11109	receive	13	1545740485.9320254
11110	receive	13	1545740485.932015
11108	receive	13	1545740485.9468558
11077	receive	13	1545740485.9477053
11109	send	14	1545740487.2546282
11110	receive	14	1545740487.2588353
11077	receive	14	1545740487.267324
11109	receive	14	1545740487.2747426
11108	receive	14	1545740487.274732
end of measure
11108	send	15	1545740500.3217106
11077	receive	15	1545740500.326718
11110	receive	15	1545740500.330723
11109	receive	15	1545740500.3307197
11108	receive	15	1545740500.3387272
start to measure
11110	send	16	1545740518.973777
11108	receive	16	1545740518.9787288
11077	receive	16	1545740518.9867275
11109	receive	16	1545740518.9890058
11110	receive	16	1545740518.9907234
11109	send	17	1545740519.9097242
11077	receive	17	1545740519.9113925
11110	receive	17	1545740519.9114623
11108	receive	17	1545740519.9187205
11109	receive	17	1545740519.9252987
11077	send	18	1545740542.1417096
11110	receive	18	1545740542.1431117
11109	receive	18	1545740542.1431642
11108	receive	18	1545740542.1467216
11077	receive	18	1545740542.1588416
11108	send	19	1545740550.030872
11077	receive	19	1545740550.032064
11108	receive	19	1545740550.0391905
11109	receive	19	1545740550.0426946
11110	receive	19	1545740550.04551
11110	send	20	1545740571.1031163
11109	receive	20	1545740571.108199
11108	receive	20	1545740571.1107728
11077	receive	20	1545740571.117703
11110	receive	20	1545740571.1183126
11109	send	21	1545740588.6518261
11108	receive	21	1545740588.6539178
11077	receive	21	1545740588.6547222
11110	receive	21	1545740588.6667898
11109	receive	21	1545740588.6707244
11108	send	22	1545740606.460232
11110	receive	22	1545740606.4663374
11077	receive	22	1545740606.4663353
11109	receive	22	1545740606.4770658
11108	receive	22	1545740606.4795203
half end of measure
11108	send	23	1545740638.9086008
11109	receive	23	1545740638.9230976
11077	receive	23	1545740638.9318013
11108	receive	23	1545740638.9387228
11110	receive	23	1545740638.9467173
11077	send	24	1545740639.156192
11108	receive	24	1545740639.178815
11109	receive	24	1545740639.1827202
11077	receive	24	1545740639.1907232
11110	receive	24	1545740639.190719
11108	send	25	1545740642.9455485
11109	receive	25	1545740642.9536843
11077	receive	25	1545740642.9537575
11110	receive	25	1545740642.958799
11108	receive	25	1545740642.9593256
11077	send	26	1545740660.406228
11109	receive	26	1545740660.408345
11110	receive	26	1545740660.4147282
11077	receive	26	1545740660.4193509
11108	receive	26	1545740660.4083433
11108	send	27	1545740673.7304888
11109	receive	27	1545740673.732397
11110	receive	27	1545740673.7323902
11108	receive	27	1545740673.744701
11077	receive	27	1545740673.7467153
11077	send	28	1545740696.1817737
11109	receive	28	1545740696.186722
11110	receive	28	1545740696.1867225
11077	receive	28	1545740696.1924481
11108	receive	28	1545740696.1987202
end of measure
11108	send	29	1545740708.517092
11108	receive	29	1545740708.51743
11077	receive	29	1545740708.5189312
11110	receive	29	1545740708.521303
11109	receive	29	1545740708.5213196
11108	send	30	1545740713.533707
11109	receive	30	1545740713.5387228
11077	receive	30	1545740713.5467212
11110	receive	30	1545740713.550721
11108	receive	30	1545740713.554419
start to measure
11077	send	31	1545740718.4860969
11109	receive	31	1545740718.494312
11108	receive	31	1545740718.502736
11110	receive	31	1545740718.5027301
11077	receive	31	1545740718.503146
11109	send	32	1545740724.8497162
11108	receive	32	1545740724.8520787
11110	receive	32	1545740724.8520737
11077	receive	32	1545740724.8627198
11109	receive	32	1545740724.8667226
11108	send	33	1545740726.2922614
11077	receive	33	1545740726.2982712
11109	receive	33	1545740726.2982786
11108	receive	33	1545740726.3067243
11110	receive	33	1545740726.314721
